region,year,avg_gini
Alsace,1997,0.286
Alsace,1998,0.273
Alsace,1999,0.289
Alsace,2000,0.299
Alsace,2001,0.304
Alsace,2002,0.307
Alsace,2003,0.313
Alsace,2004,0.287
Alsace,2005,0.305
Alsace,2006,0.319
Alsace,2007,0.308
Alsace,2008,0.31
Alsace,2009,0.324
Alsace,2010,0.321
Alsace,2011,0.309
Alsace,2012,0.309
Alsace,2013,0.31
Alsace,2014,0.3
Alsace,2015,0.314
Alsace,2016,0.307
Alsace,2017,0.29
Alsace,2018,0.314
Aquitaine,1996,0.311
Aquitaine,1997,0.312
Aquitaine,1998,0.314
Aquitaine,1999,0.304
Aquitaine,2000,0.298
Aquitaine,2001,0.295
Aquitaine,2002,0.328
Aquitaine,2003,0.329
Aquitaine,2004,0.318
Aquitaine,2005,0.318
Aquitaine,2006,0.3
Aquitaine,2007,0.305
Aquitaine,2008,0.339
Aquitaine,2009,0.329
Aquitaine,2010,0.32
Aquitaine,2011,0.32
Aquitaine,2012,0.325
Aquitaine,2013,0.306
Aquitaine,2014,0.316
Aquitaine,2015,0.32
Aquitaine,2016,0.307
Aquitaine,2017,0.294
Aquitaine,2018,0.32
Auvergne,1996,0.31
Auvergne,1997,0.309
Auvergne,1998,0.304
Auvergne,1999,0.299
Auvergne,2000,0.312
Auvergne,2001,0.297
Auvergne,2002,0.311
Auvergne,2003,0.324
Auvergne,2004,0.345
Auvergne,2005,0.319
Auvergne,2006,0.312
Auvergne,2007,0.33
Auvergne,2008,0.313
Auvergne,2009,0.37
Auvergne,2010,0.36
Auvergne,2011,0.313
Auvergne,2012,0.292
Auvergne,2013,0.303
Auvergne,2014,0.29
Auvergne,2015,0.309
Auvergne,2016,0.297
Auvergne,2017,0.297
Auvergne,2018,0.288
Basse-Normandie,1996,0.311
Basse-Normandie,1997,0.306
Basse-Normandie,1998,0.296
Basse-Normandie,1999,0.3
Basse-Normandie,2000,0.291
Basse-Normandie,2001,0.289
Basse-Normandie,2002,0.298
Basse-Normandie,2003,0.298
Basse-Normandie,2004,0.277
Basse-Normandie,2005,0.303
Basse-Normandie,2006,0.291
Basse-Normandie,2007,0.292
Basse-Normandie,2008,0.303
Basse-Normandie,2009,0.317
Basse-Normandie,2010,0.319
Basse-Normandie,2011,0.318
Basse-Normandie,2012,0.332
Basse-Normandie,2013,0.298
Basse-Normandie,2014,0.289
Basse-Normandie,2015,0.285
Basse-Normandie,2016,0.303
Basse-Normandie,2017,0.288
Basse-Normandie,2018,0.284
Bourgogne,1996,0.274
Bourgogne,1997,0.28
Bourgogne,1998,0.287
Bourgogne,1999,0.292
Bourgogne,2000,0.291
Bourgogne,2001,0.279
Bourgogne,2002,0.285
Bourgogne,2003,0.314
Bourgogne,2004,0.303
Bourgogne,2005,0.295
Bourgogne,2006,0.302
Bourgogne,2007,0.302
Bourgogne,2008,0.33
Bourgogne,2009,0.295
Bourgogne,2010,0.327
Bourgogne,2011,0.3
Bourgogne,2012,0.293
Bourgogne,2013,0.285
Bourgogne,2014,0.294
Bourgogne,2015,0.301
Bourgogne,2016,0.304
Bourgogne,2017,0.306
Bourgogne,2018,0.315
Bretagne,1996,0.275
Bretagne,1997,0.287
Bretagne,1998,0.291
Bretagne,1999,0.3
Bretagne,2000,0.304
Bretagne,2001,0.306
Bretagne,2002,0.312
Bretagne,2003,0.316
Bretagne,2004,0.293
Bretagne,2005,0.315
Bretagne,2006,0.304
Bretagne,2007,0.316
Bretagne,2008,0.317
Bretagne,2009,0.291
Bretagne,2010,0.312
Bretagne,2011,0.334
Bretagne,2012,0.305
Bretagne,2013,0.279
Bretagne,2014,0.285
Bretagne,2015,0.295
Bretagne,2016,0.294
Bretagne,2017,0.304
Bretagne,2018,0.312
Centre,1996,0.292
Centre,1997,0.28
Centre,1998,0.282
Centre,1999,0.288
Centre,2000,0.279
Centre,2001,0.283
Centre,2002,0.299
Centre,2003,0.301
Centre,2004,0.304
Centre,2005,0.264
Centre,2006,0.295
Centre,2007,0.29
Centre,2008,0.291
Centre,2009,0.3
Centre,2010,0.294
Centre,2011,0.313
Centre,2012,0.307
Centre,2013,0.31
Centre,2014,0.324
Centre,2015,0.306
Centre,2016,0.291
Centre,2017,0.294
Centre,2018,0.292
Champagne-Arden,1996,0.298
Champagne-Arden,1997,0.303
Champagne-Arden,1998,0.294
Champagne-Arden,1999,0.293
Champagne-Arden,2000,0.308
Champagne-Arden,2001,0.303
Champagne-Arden,2002,0.328
Champagne-Arden,2003,0.295
Champagne-Arden,2004,0.302
Champagne-Arden,2005,0.308
Champagne-Arden,2006,0.338
Champagne-Arden,2007,0.352
Champagne-Arden,2008,0.332
Champagne-Arden,2009,0.312
Champagne-Arden,2010,0.321
Champagne-Arden,2011,0.317
Champagne-Arden,2012,0.309
Champagne-Arden,2013,0.321
Champagne-Arden,2014,0.308
Champagne-Arden,2015,0.31
Champagne-Arden,2016,0.295
Champagne-Arden,2017,0.299
Champagne-Arden,2018,0.301
Corse,2002,0.377
Corse,2003,0.373
Corse,2004,0.335
Corse,2005,0.339
Corse,2006,0.389
Corse,2007,0.289
Corse,2008,0.318
Corse,2009,0.324
Corse,2010,0.368
Corse,2011,0.312
Corse,2012,0.314
Corse,2013,0.324
Corse,2014,0.301
Corse,2015,0.318
Corse,2016,0.275
Corse,2017,0.285
Corse,2018,0.312
Franche-Comté,1996,0.265
Franche-Comté,1997,0.267
Franche-Comté,1998,0.282
Franche-Comté,1999,0.279
Franche-Comté,2000,0.267
Franche-Comté,2001,0.271
Franche-Comté,2002,0.28
Franche-Comté,2003,0.276
Franche-Comté,2004,0.272
Franche-Comté,2005,0.283
Franche-Comté,2006,0.283
Franche-Comté,2007,0.289
Franche-Comté,2008,0.32
Franche-Comté,2009,0.292
Franche-Comté,2010,0.298
Franche-Comté,2011,0.288
Franche-Comté,2012,0.299
Franche-Comté,2013,0.29
Franche-Comté,2014,0.294
Franche-Comté,2015,0.295
Franche-Comté,2016,0.318
Franche-Comté,2017,0.297
Franche-Comté,2018,0.301
Haute-Normandie,1996,0.281
Haute-Normandie,1997,0.281
Haute-Normandie,1998,0.272
Haute-Normandie,1999,0.291
Haute-Normandie,2000,0.306
Haute-Normandie,2001,0.314
Haute-Normandie,2002,0.289
Haute-Normandie,2003,0.28
Haute-Normandie,2004,0.28
Haute-Normandie,2005,0.276
Haute-Normandie,2006,0.282
Haute-Normandie,2007,0.305
Haute-Normandie,2008,0.308
Haute-Normandie,2009,0.3
Haute-Normandie,2010,0.29
Haute-Normandie,2011,0.312
Haute-Normandie,2012,0.307
Haute-Normandie,2013,0.303
Haute-Normandie,2014,0.298
Haute-Normandie,2015,0.289
Haute-Normandie,2016,0.31
Haute-Normandie,2017,0.294
Haute-Normandie,2018,0.292
Ile-de-France,1996,0.297
Ile-de-France,1997,0.308
Ile-de-France,1998,0.309
Ile-de-France,1999,0.323
Ile-de-France,2000,0.331
Ile-de-France,2001,0.326
Ile-de-France,2002,0.327
Ile-de-France,2003,0.327
Ile-de-France,2004,0.337
Ile-de-France,2005,0.349
Ile-de-France,2006,0.348
Ile-de-France,2007,0.349
Ile-de-France,2008,0.355
Ile-de-France,2009,0.356
Ile-de-France,2010,0.365
Ile-de-France,2011,0.379
Ile-de-France,2012,0.368
Ile-de-France,2013,0.338
Ile-de-France,2014,0.35
Ile-de-France,2015,0.338
Ile-de-France,2016,0.344
Ile-de-France,2017,0.352
Ile-de-France,2018,0.374
Languedoc-Rouss,1996,0.319
Languedoc-Rouss,1997,0.329
Languedoc-Rouss,1998,0.329
Languedoc-Rouss,1999,0.326
Languedoc-Rouss,2000,0.325
Languedoc-Rouss,2001,0.315
Languedoc-Rouss,2002,0.312
Languedoc-Rouss,2003,0.321
Languedoc-Rouss,2004,0.317
Languedoc-Rouss,2005,0.324
Languedoc-Rouss,2006,0.335
Languedoc-Rouss,2007,0.373
Languedoc-Rouss,2008,0.324
Languedoc-Rouss,2009,0.318
Languedoc-Rouss,2010,0.326
Languedoc-Rouss,2011,0.339
Languedoc-Rouss,2012,0.352
Languedoc-Rouss,2013,0.326
Languedoc-Rouss,2014,0.338
Languedoc-Rouss,2015,0.334
Languedoc-Rouss,2016,0.322
Languedoc-Rouss,2017,0.307
Languedoc-Rouss,2018,0.336
Limousin,1996,0.29
Limousin,1997,0.301
Limousin,1998,0.306
Limousin,1999,0.311
Limousin,2000,0.308
Limousin,2001,0.301
Limousin,2002,0.292
Limousin,2003,0.31
Limousin,2004,0.31
Limousin,2005,0.336
Limousin,2006,0.335
Limousin,2007,0.318
Limousin,2008,0.293
Limousin,2009,0.313
Limousin,2010,0.325
Limousin,2011,0.295
Limousin,2012,0.327
Limousin,2013,0.276
Limousin,2014,0.295
Limousin,2015,0.3
Limousin,2016,0.292
Limousin,2017,0.29
Limousin,2018,0.289
Lorraine,1996,0.291
Lorraine,1997,0.294
Lorraine,1998,0.286
Lorraine,1999,0.292
Lorraine,2000,0.3
Lorraine,2001,0.29
Lorraine,2002,0.294
Lorraine,2003,0.29
Lorraine,2004,0.302
Lorraine,2005,0.326
Lorraine,2006,0.323
Lorraine,2007,0.321
Lorraine,2008,0.299
Lorraine,2009,0.298
Lorraine,2010,0.314
Lorraine,2011,0.327
Lorraine,2012,0.334
Lorraine,2013,0.331
Lorraine,2014,0.298
Lorraine,2015,0.316
Lorraine,2016,0.311
Lorraine,2017,0.324
Lorraine,2018,0.303
Midi-Pyrénées,1996,0.313
Midi-Pyrénées,1997,0.351
Midi-Pyrénées,1998,0.323
Midi-Pyrénées,1999,0.315
Midi-Pyrénées,2000,0.31
