,country_x,country_code,nutslevel,nuts2,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote,cleaned_region,predicted_region,confidence_score,region,avg_gini,change_gini,country_y,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,linked,country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
2,France,FR,2,FR10,Ile-de-France,Parliament,1997,FN,National Front / National Rally,Front National / Rassemblement national,433.0,587557.0,6070933.0,3959761.0,3821448.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.308,0.01100000000000001,FRA,manifesto,31720.0,FN,Front National,National Front,1986.0,2017.0,14.9,1997.0,,,2013-01-01T18:17:06.254Z,2021-03-12T10:13:37.773172Z,1634.0,2013-01-01T18:34:34.765Z,31.0,France,10.0,10.0,25/05/1997,199705.0,31720.0,National Front,FN,70.0,,106.0,999.0,1997.0,,,14.932,0.0,,1.0,577.0,1.0,10.0,,75.0,4.0,0.0,0.0,0.0,5.333,0.0,0.0,0.0,0.0,4.0,1.333,4.0,5.333,0.0,0.0,0.0,0.0,0.0,1.333,0.0,2.667,4.0,1.333,0.0,0.0,5.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.0,0.0,8.0,0.0,0.0,0.0,1.333,0.0,0.0,17.333,0.0,14.667,0.0,12.0,0.0,0.0,0.0,0.0,1.333,4.0,0.0,0.0,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.667,1.333,4.0,0.0,0.0,2023a,KE5A65
6,France,FR,2,FR10,Ile-de-France,Parliament,1997,PCF,French Communist Party,Parti communiste francaise,1251.0,399290.0,6070933.0,3959761.0,3821448.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.308,0.01100000000000001,FRA,manifesto,31220.0,PCF,Parti Communiste Français,French Communist Party,1946.0,2017.0,28.6,1946.0,,,2013-01-01T18:17:53.203Z,2021-03-12T10:13:38.063026Z,1855.0,2013-01-01T18:34:36.765Z,31.0,France,10.0,10.0,25/05/1997,199705.0,31220.0,French Communist Party,PCF,20.0,,106.0,999.0,1997.0,,,9.901,0.0,,37.0,577.0,1.0,10.0,,70.0,11.429,0.0,0.0,1.429,0.0,1.429,4.286,0.0,0.0,0.0,4.286,1.429,5.714,0.0,0.0,0.0,0.0,0.0,1.429,0.0,0.0,1.429,0.0,0.0,0.0,0.0,0.0,1.429,8.571,0.0,0.0,1.429,7.143,0.0,0.0,0.0,2.857,1.429,14.286,11.429,0.0,2.857,0.0,0.0,0.0,0.0,0.0,4.286,0.0,0.0,0.0,4.286,0.0,2.857,0.0,4.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.857,1.429,0.0,25.714,5.714,2023a,KYPNEO
8,France,FR,2,FR10,Ile-de-France,Parliament,1997,PS,Socialist Party,Parti socialiste,1478.0,773737.0,6070933.0,3959761.0,3821448.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.308,0.01100000000000001,FRA,manifesto,31320.0,SIFO,Parti Socialiste,Socialist Party,1946.0,2017.0,36.6,1981.0,,,2013-01-01T18:18:17.903Z,2021-03-12T10:13:38.080355Z,1974.0,2013-01-01T18:34:38.365Z,31.0,France,10.0,10.0,25/05/1997,199705.0,31320.0,Socialist Party,PS,30.0,,106.0,999.0,1997.0,,,25.484,0.0,,246.0,577.0,1.0,10.0,,143.0,11.189,3.497,0.0,0.699,0.0,0.0,0.699,0.699,11.888,0.0,0.0,4.196,9.091,0.0,0.0,0.0,0.0,2.098,0.0,0.0,0.0,4.196,1.399,0.0,0.0,0.0,0.0,0.0,2.797,0.699,2.797,0.0,2.098,0.0,0.0,0.0,4.196,2.797,11.888,4.196,0.699,6.993,0.0,0.0,0.0,0.0,0.0,3.497,0.0,0.0,0.0,0.0,0.0,3.497,0.0,2.098,2.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.287,1.399,0.0,16.084,0.699,2023a,B4HN4D
9,France,FR,2,FR10,Ile-de-France,Parliament,1997,UDF,Union for French Democracy,Union pour la democratie francaise,213.0,347274.0,6070933.0,3959761.0,3821448.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.308,0.01100000000000001,FRA,manifesto,31624.0,UDF,Mouvement Démocrate,Democratic Mouvement,1978.0,2017.0,22.0,1978.0,,,2013-01-01T18:18:17.255Z,2021-03-12T10:13:38.008466Z,1971.0,2013-01-01T18:34:38.767Z,31.0,France,10.0,10.0,25/05/1997,199705.0,31624.0,Union for French Democracy,UDF,60.0,,106.0,999.0,1997.0,,,14.689,0.0,,109.0,577.0,2.0,10.0,,61.0,9.836,1.639,0.0,0.0,0.0,0.0,1.639,1.639,4.918,0.0,0.0,8.197,4.918,0.0,0.0,4.918,0.0,3.279,0.0,0.0,0.0,6.557,0.0,0.0,0.0,0.0,0.0,4.918,0.0,0.0,3.279,0.0,0.0,0.0,0.0,0.0,3.279,1.639,8.197,4.918,1.639,8.197,0.0,0.0,0.0,1.639,0.0,4.918,1.639,0.0,0.0,0.0,0.0,1.639,0.0,3.279,3.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.279,0.0,0.0,13.115,1.639,2023a,UPZ3H9
10,France,FR,2,FR10,Ile-de-France,Parliament,1997,VERTS,Greens,Les Verts,1108.0,322422.0,6070933.0,3959761.0,3821448.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.308,0.01100000000000001,FRA,manifesto,31110.0,Les Verts,Europe Écologie Les Verts,Europe Ecology - The Greens,1993.0,2017.0,7.8,1993.0,,in 1997: Les Verts,2013-01-01T18:17:52.173Z,2021-03-12T10:13:37.769037Z,1850.0,2013-01-01T18:34:39.508Z,31.0,France,10.0,10.0,25/05/1997,199705.0,31110.0,The Greens,Les Verts,10.0,,106.0,999.0,1997.0,,,3.592,0.0,,8.0,577.0,1.0,10.0,,48.0,10.417,0.0,0.0,0.0,0.0,2.083,2.083,2.083,14.583,0.0,0.0,0.0,10.417,0.0,0.0,2.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,10.417,0.0,0.0,0.0,0.0,0.0,0.0,2.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.083,0.0,0.0,22.917,4.167,2023a,Z9DJM6
13,France,FR,2,FR10,Ile-de-France,Parliament,2002,FN,National Front / National Rally,Front National / Rassemblement national,433.0,393727.0,6088241.0,3985124.0,3929505.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.327,0.0010000000000000009,FRA,manifesto,31720.0,FN,Front National,National Front,1986.0,2017.0,14.9,1997.0,,,2013-01-01T18:17:06.254Z,2021-03-12T10:13:37.773172Z,1634.0,2013-01-01T18:34:34.765Z,31.0,France,10.0,10.0,09/06/2002,200206.0,31720.0,National Front,FN,70.0,,106.0,999.0,2003.0,,,11.12,0.0,,0.0,577.0,1.0,20.0,,312.0,0.0,4.167,0.0,0.0,5.449,0.0,0.962,1.282,0.0,2.885,1.603,2.564,1.603,0.962,1.603,1.282,0.321,0.321,1.282,1.282,2.564,3.205,2.244,0.321,0.641,7.051,0.0,0.0,0.0,0.0,2.564,0.0,0.0,0.321,0.0,3.846,5.449,4.167,0.641,1.603,1.603,1.923,0.321,8.333,0.0,8.654,0.0,9.936,0.0,0.0,1.923,0.321,0.0,3.846,0.0,0.641,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.564,2.564,2.885,2.244,0.962,2023a,C23VFA
22,France,FR,2,FR10,Ile-de-France,Parliament,2002,PCF,French Communist Party,Parti communiste francaise,1251.0,229893.0,6088241.0,3985124.0,3929505.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.327,0.0010000000000000009,FRA,manifesto,31220.0,PCF,Parti Communiste Français,French Communist Party,1946.0,2017.0,28.6,1946.0,,,2013-01-01T18:17:53.203Z,2021-03-12T10:13:38.063026Z,1855.0,2013-01-01T18:34:36.765Z,31.0,France,10.0,10.0,09/06/2002,200206.0,31220.0,French Communist Party,PCF,20.0,,106.0,999.0,2003.0,,,4.91,0.0,,21.0,577.0,1.0,20.0,,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.75,7.5,3.75,0.0,0.0,8.75,2.5,0.0,1.25,0.0,6.25,0.0,0.0,0.0,10.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.25,0.0,13.75,11.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.0,0.0,7.5,0.0,0.0,0.0,1.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,0.0,0.0,25.0,2.5,2023a,M7WNJP
24,France,FR,2,FR10,Ile-de-France,Parliament,2002,PS,Socialist Party,Parti socialiste,1478.0,828224.0,6088241.0,3985124.0,3929505.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.327,0.0010000000000000009,FRA,manifesto,31320.0,SIFO,Parti Socialiste,Socialist Party,1946.0,2017.0,36.6,1981.0,,,2013-01-01T18:18:17.903Z,2021-03-12T10:13:38.080355Z,1974.0,2013-01-01T18:34:38.365Z,31.0,France,10.0,10.0,09/06/2002,200206.0,31320.0,Socialist Party,PS,30.0,,106.0,999.0,2003.0,,,25.29,0.0,,141.0,577.0,1.0,20.0,,348.0,0.0,0.575,0.0,0.575,0.0,0.0,0.575,3.161,2.586,0.0,0.287,0.287,1.149,4.31,0.0,4.023,0.0,3.736,0.575,0.0,0.0,2.011,2.011,0.287,1.149,0.0,0.0,0.862,0.287,1.437,4.023,0.0,0.862,0.0,0.0,0.287,0.575,2.299,12.644,10.92,0.0,10.057,0.0,0.287,0.0,1.437,0.0,6.897,3.161,1.437,0.0,4.885,0.0,0.575,0.0,3.736,6.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.092,2.299,0.0,23.563,0.575,2023a,FSSK46
27,France,FR,2,FR10,Ile-de-France,Parliament,2002,UDF,Union for French Democracy,Union pour la democratie francaise,213.0,187784.0,6088241.0,3985124.0,3929505.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.327,0.0010000000000000009,FRA,manifesto,31624.0,UDF,Mouvement Démocrate,Democratic Mouvement,1978.0,2017.0,22.0,1978.0,,,2013-01-01T18:18:17.255Z,2021-03-12T10:13:38.008466Z,1971.0,2013-01-01T18:34:38.767Z,31.0,France,10.0,10.0,09/06/2002,200206.0,31624.0,Union for French Democracy,UDF,60.0,,106.0,999.0,2003.0,,,4.79,0.0,,29.0,577.0,1.0,20.0,,347.0,0.0,1.441,0.0,0.0,0.0,0.0,0.0,3.458,9.51,0.0,0.0,4.899,4.035,1.441,0.0,7.493,0.0,6.052,0.0,0.0,0.0,3.746,0.0,0.0,2.017,0.576,0.0,0.0,0.0,0.0,5.476,0.0,0.0,0.0,0.0,0.0,4.899,8.646,1.441,5.476,1.441,5.187,0.0,0.576,0.0,5.476,0.0,7.205,2.305,0.865,0.0,1.153,0.0,1.441,0.0,2.594,1.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.205,0.0,0.0,6.916,0.0,2023a,94WCGP
28,France,FR,2,FR10,Ile-de-France,Parliament,2002,UMP,,,1595.0,1421281.0,6088241.0,3985124.0,3929505.0,ile-de-france,Ile-de-France,1.0,Ile-de-France,0.327,0.0010000000000000009,FRA,manifesto,31626.0,UMP,Union pour un Mouvement Populaire,Union for a Popular Movement,2002.0,2017.0,39.5,2007.0,,composed of: RPR Rassemblement pour la République (Rally for the Republic) and DL Démocratie Libérale (Liberal Democracy); after the election part of UDF joined the Union,2013-01-01T18:18:21.426Z,2021-03-12T10:13:38.132201Z,1991.0,2013-01-01T18:34:39.125Z,31.0,France,10.0,10.0,09/06/2002,200206.0,31626.0,Union for the Presidential Majority,UMP,60.0,,106.0,999.0,2003.0,,,33.37,0.0,,365.0,577.0,1.0,20.0,,213.0,0.0,0.469,0.0,0.469,0.0,0.0,0.0,1.408,1.878,0.0,0.0,0.939,3.756,1.878,0.0,5.164,0.469,4.695,0.0,0.939,0.0,1.408,1.408,2.817,0.469,0.0,0.0,0.0,0.0,3.756,1.408,0.0,0.0,0.0,0.0,0.0,3.286,0.469,3.286,10.798,0.0,9.39,0.0,0.0,0.0,0.939,0.0,18.779,0.939,0.939,0.0,4.695,0.0,0.469,0.0,3.756,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.92,4.225,0.0,14.085,0.0,2023a,KR2YWY
