country_name,cleaned_region_x,year,avg_gini,im_ratio,ed_ratio,flag,country_y,interp_gini,interp_im,interp_ed,delta_gini,avg_gini_period,delta_im,avg_im_period,delta_ed,avg_ed_period,predicted_region,country,country_code,nutslevel,nuts2,regionname,type,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote,cleaned_region_y
Belgium,brussels capital region,1991,,,,1.0,,0.236,1.2625,0.7729999999999999,,0.236,,1.2625,,0.7729999999999999,,,,,,,,,,,,,,,,
Belgium,brussels capital region,1995,0.316,,,1.0,be,0.316,1.3275000000000001,0.6345,0.08000000000000002,0.276,0.06500000000000017,1.295,-0.13849999999999996,0.7037499999999999,,,,,,,,,,,,,,,,
Belgium,brussels capital region,1999,,,,1.0,,0.323,1.294,0.5633999999999999,0.007000000000000006,0.2916666666666667,-0.033500000000000085,1.2946666666666669,-0.07110000000000005,0.6569666666666666,,,,,,,,,,,,,,,,
Belgium,brussels capital region,2003,0.349,,,1.0,be,0.349,1.162,0.5641999999999999,0.025999999999999968,0.306,-0.13200000000000012,1.2615,0.0008000000000000229,0.633775,,,,,,,,,,,,,,,,
Belgium,brussels capital region,2007,0.393,1.13,0.627,1.0,be,0.393,1.13,0.627,0.04400000000000004,0.3234,-0.03200000000000003,1.2352,0.06280000000000008,0.63242,,,,,,,,,,,,,,,,
Belgium,brussels capital region,2010,0.375,1.13,0.54,1.0,be,0.375,1.13,0.54,-0.018000000000000016,0.332,0.0,1.2176666666666667,-0.08699999999999997,0.6170166666666667,,,,,,,,,,,,,,,,
Belgium,brussels capital region,2014,0.349,1.01,0.561,1.0,be,0.349,1.01,0.561,-0.026000000000000023,0.33442857142857146,-0.11999999999999988,1.188,0.02100000000000002,0.6090142857142856,,,,,,,,,,,,,,,,
Belgium,brussels capital region,2019,,,,1.0,,0.29800000000000004,0.8405,0.614,-0.050999999999999934,0.32987500000000003,-0.16949999999999998,1.1445625,0.052999999999999936,0.6096374999999999,,,,,,,,,,,,,,,,
Belgium,flemish region,1991,,,,1.0,,0.253,1.08,0.6705,,0.253,,1.08,,0.6705,,,,,,,,,,,,,,,,
Belgium,flemish region,1995,0.298,,,1.0,be,0.298,1.2,0.622,0.044999999999999984,0.27549999999999997,0.11999999999999988,1.1400000000000001,-0.04849999999999999,0.64625,,,,,,,,,,,,,,,,
Belgium,flemish region,1999,,,,1.0,,0.2885,1.23,0.5916,-0.009500000000000008,0.2798333333333333,0.030000000000000027,1.17,-0.030399999999999983,0.6280333333333333,,,,,,,,,,,,,,,,
Belgium,flemish region,2003,0.287,,,1.0,be,0.287,1.1700000000000002,0.5888,-0.0015000000000000013,0.281625,-0.05999999999999983,1.17,-0.0028000000000000247,0.618225,,,,,,,,,,,,,,,,
Belgium,flemish region,2007,0.298,1.09,0.601,1.0,be,0.298,1.09,0.601,0.01100000000000001,0.2849,-0.08000000000000007,1.1540000000000001,0.012199999999999989,0.61478,,,,,,,,,,,,,,,,
Belgium,flemish region,2010,0.282,1.24,0.591,1.0,be,0.282,1.24,0.591,-0.016000000000000014,0.28441666666666665,0.1499999999999999,1.1683333333333332,-0.010000000000000009,0.6108166666666667,,,,,,,,,,,,,,,,
Belgium,flemish region,2014,0.287,1.2,0.598,1.0,be,0.287,1.2,0.598,0.0050000000000000044,0.28478571428571425,-0.040000000000000036,1.172857142857143,0.007000000000000006,0.6089857142857144,,,,,,,,,,,,,,,,
Belgium,flemish region,2019,,,,1.0,,0.29166666666666663,1.3066666666666666,0.6363333333333333,0.004666666666666652,0.2856458333333333,0.10666666666666669,1.1895833333333334,0.03833333333333333,0.6124041666666666,,,,,,,,,,,,,,,,
Belgium,walloon region,1991,,,,1.0,,0.2745,1.0875,0.6715,,0.2745,,1.0875,,0.6715,,,,,,,,,,,,,,,,
Belgium,walloon region,1995,0.292,,,1.0,be,0.292,1.1225,0.6395,0.01749999999999996,0.28325,0.03500000000000014,1.105,-0.03200000000000003,0.6555,,,,,,,,,,,,,,,,
Belgium,walloon region,1999,,,,1.0,,0.303,1.1483333333333332,0.609,0.01100000000000001,0.28983333333333333,0.025833333333333153,1.1194444444444445,-0.03049999999999997,0.64,,,,,,,,,,,,,,,,
Belgium,walloon region,2003,0.304,,,1.0,be,0.304,1.165,0.603,0.0010000000000000009,0.293375,0.01666666666666683,1.1308333333333334,-0.006000000000000005,0.6307499999999999,,,,,,,,,,,,,,,,
Belgium,walloon region,2007,0.311,1.27,0.605,1.0,be,0.311,1.27,0.605,0.007000000000000006,0.2969,0.10499999999999998,1.1586666666666665,0.0020000000000000018,0.6256,,,,,,,,,,,,,,,,
Belgium,walloon region,2010,0.305,1.18,0.62,1.0,be,0.305,1.18,0.62,-0.006000000000000005,0.29824999999999996,-0.09000000000000008,1.162222222222222,0.015000000000000013,0.6246666666666666,,,,,,,,,,,,,,,,
Belgium,walloon region,2014,0.303,1.19,0.595,1.0,be,0.303,1.19,0.595,-0.0020000000000000018,0.2989285714285714,0.010000000000000009,1.1661904761904762,-0.025000000000000022,0.6204285714285714,,,,,,,,,,,,,,,,
