"","country_name","cleaned_region_x","year","avg_gini","im_ratio","ed_ratio","flag","country_y","interp_gini","interp_im","interp_ed","delta_gini","avg_gini_period","delta_im","avg_im_period","delta_ed","avg_ed_period","predicted_region","country.x","country_code","nutslevel","nuts2","regionname","type","party_abbreviation","party_english","party_native","partyfacts_id","partyvote","electorate","totalvote","validvote","cleaned_region_y","country.y","dataset_key","dataset_party_id","name_short","name","name_english","year_first","year_last","share","share_year","description","comment","created","modified","external_id","linked","country","oecdmember","eumember","edate","date","partyname","partyabbrev","parfam","candidatename","coderid","manual","coderyear","testresult","testeditsim","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","corpusversion","total","peruncod","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","per103_1","per103_2","per201_1","per201_2","per202_1","per202_2","per202_3","per202_4","per305_1","per305_2","per305_3","per305_4","per305_5","per305_6","per416_1","per416_2","per601_1","per601_2","per602_1","per602_2","per605_1","per605_2","per606_1","per606_2","per607_1","per607_2","per607_3","per608_1","per608_2","per608_3","per703_1","per703_2","rile","planeco","markeco","welfare","intpeace","datasetversion","id_perm","perc_vote","imm_sum","perc_im","socdem_sum","perc_socdem"
"1","France","alsace",1993,NA,NA,NA,1,"",0.3005,1.195,0.622,NA,0.3005,NA,1.195,NA,0.622,"alsace","France","FR",2,"FRF1","Alsace","Parliament","FN","National Front / National Rally","Front National / Rassemblement national",433,101969,1091721,733749,694044,"alsace","FRA","manifesto",31720,"FN","Front National","National Front",1986,2017,14.9,1997,NA,"","2013-01-01T18:17:06.254Z","2021-03-12T10:13:37.773172Z",1634,"2013-01-01T18:34:34.765Z",31,10,10,"21/03/1993",199303,"National Front","FN",70,NA,998,998,NA,NA,NA,12.68,0,NA,0,577,3,10,NA,372.5,16.552,0.373,0.149,0,4.01,0,0,1.045,1.119,2.224,1.114,3.343,3.488,0.224,0,1.194,0.075,2.388,1.264,0.97,5.289,2.373,0.667,0,0,2.816,0.149,0.373,0,0.224,0.448,0,0,0.667,0,0,4.746,0.672,0.373,0,1.264,0.672,0.149,10.98,0.448,11.363,0,8.09,0.746,0,2.015,0.821,1.189,2.149,0.299,0,1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.96,0.667,5.955,0.373,0.149,"2023a","9NGYTT",13.8969865717023,12.995,180.591340499272,4.304,59.8126302046068
"2","France","alsace",1993,NA,NA,NA,1,"",0.3005,1.195,0.622,NA,0.3005,NA,1.195,NA,0.622,"alsace","France","FR",2,"FRF1","Alsace","Parliament","PCF","French Communist Party","Parti communiste francaise",1251,15553,1091721,733749,694044,"alsace","FRA","manifesto",31220,"PCF","Parti Communiste Français","French Communist Party",1946,2017,28.6,1946,NA,"","2013-01-01T18:17:53.203Z","2021-03-12T10:13:38.063026Z",1855,"2013-01-01T18:34:36.765Z",31,10,10,"21/03/1993",199303,"French Communist Party","PCF",20,NA,106,999,1994,NA,NA,9.14,0,NA,23,577,1,10,NA,147,6.803,0,0,2.041,0.68,1.361,3.401,2.721,0.68,0,1.361,4.082,2.721,0.68,0,2.041,0.68,1.361,0,2.041,0,0.68,2.041,1.361,0.68,2.041,0.68,4.082,5.442,1.361,2.041,12.245,1.361,0,0,0,0,1.361,6.803,8.163,0,2.721,0,0,0,0,0,0.68,0,0,0,5.442,0,2.721,1.361,2.721,1.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-38.095,15.646,0,14.966,4.762,"2023a","DNWVB5",2.1196621733045,0,0,36.735,77.8657899363406
"3","France","alsace",1993,NA,NA,NA,1,"",0.3005,1.195,0.622,NA,0.3005,NA,1.195,NA,0.622,"alsace","France","FR",2,"FRF1","Alsace","Parliament","PS","Socialist Party","Parti socialiste",1478,79354,1091721,733749,694044,"alsace","FRA","manifesto",31320,"SIFO","Parti Socialiste","Socialist Party",1946,2017,36.6,1981,NA,"","2013-01-01T18:18:17.903Z","2021-03-12T10:13:38.080355Z",1974,"2013-01-01T18:34:38.365Z",31,10,10,"21/03/1993",199303,"Socialist Party","PS",30,NA,106,999,1994,NA,NA,19.04,0,NA,57,577,1,10,NA,125,6.4,0,0,0.8,0.8,0,3.2,3.2,3.2,0,0,4,4.8,0.8,0,3.2,0,2.4,0,1.6,0.8,1.6,2.4,2.4,0,0,0.8,3.2,4.8,4.8,1.6,2.4,0,0.8,0,0,3.2,1.6,6.4,8.8,0,4.8,0,0,0,0,0,0.8,0.8,0,0,3.2,0,3.2,1.6,3.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.2,7.2,1.6,15.2,3.2,"2023a","Z64SGH",10.8148699350868,0,0,24,259.556878442083
"4","France","alsace",1993,NA,NA,NA,1,"",0.3005,1.195,0.622,NA,0.3005,NA,1.195,NA,0.622,"alsace","France","FR",2,"FRF1","Alsace","Parliament","UDF","Union for French Democracy","Union pour la democratie francaise",213,162453,1091721,733749,694044,"alsace","FRA","manifesto",31624,"UDF","Mouvement Démocrate","Democratic Mouvement",1978,2017,22,1978,NA,"","2013-01-01T18:18:17.255Z","2021-03-12T10:13:38.008466Z",1971,"2013-01-01T18:34:38.767Z",31,10,10,"21/03/1993",199303,"Union for French Democracy","UDF",60,NA,106,999,1994,NA,NA,19.62,0,NA,215,577,1,10,NA,55,1.818,0,0,0,0,0,0,0,0,0,0,0,3.636,0,0,5.455,0,5.455,1.818,0,1.818,3.636,0,0,0,3.636,0,1.818,5.455,5.455,3.636,0,0,20,0,0,5.455,5.455,0,3.636,3.636,7.273,0,0,0,0,0,0,0,0,0,0,0,10.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.909,0,21.818,3.636,0,"2023a","7WOF72",22.1401323885961,0,0,12.727,281.777464909663
"5","France","alsace",1993,NA,NA,NA,1,"",0.3005,1.195,0.622,NA,0.3005,NA,1.195,NA,0.622,"alsace","France","FR",2,"FRF1","Alsace","Parliament","VERTS","Greens","Les Verts",1108,57304,1091721,733749,694044,"alsace","FRA","manifesto",31110,"Les Verts","Europe Écologie Les Verts","Europe Ecology - The Greens",1993,2017,7.8,1993,NA,"in 1997: Les Verts","2013-01-01T18:17:52.173Z","2021-03-12T10:13:37.769037Z",1850,"2013-01-01T18:34:39.508Z",31,10,10,"21/03/1993",199303,"The Greens","Les Verts",10,NA,106,999,1994,NA,NA,7.84,0,NA,0,577,1,10,NA,65,15.385,0,0,1.538,0,1.538,1.538,4.615,0,0,0,3.077,4.615,0,0,4.615,0,0,0,0,1.538,3.077,6.154,0,0,0,0,1.538,0,0,0,0,0,0,0,0,15.385,3.077,6.154,7.692,0,4.615,0,0,1.538,0,0,0,0,0,0,1.538,0,3.077,3.077,0,4.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.154,6.154,1.538,13.846,3.077,"2023a","IJNKNR",7.80975510699163,0,0,15.384,120.145272565959
"6","France","alsace",1997,0.286,1.17,0.655,1,"fr",0.286,1.17,0.655,-0.0145,0.29325,-0.0249999999999999,1.1825,0.033,0.6385,"alsace","France","FR",2,"FRF1","Alsace","Parliament","FN","National Front / National Rally","Front National / Rassemblement national",433,148482,1107693,746665,706709,"alsace","FRA","manifesto",31720,"FN","Front National","National Front",1986,2017,14.9,1997,NA,"","2013-01-01T18:17:06.254Z","2021-03-12T10:13:37.773172Z",1634,"2013-01-01T18:34:34.765Z",31,10,10,"25/05/1997",199705,"National Front","FN",70,NA,106,999,1997,NA,NA,14.932,0,NA,1,577,1,10,NA,75,4,0,0,0,5.333,0,0,0,0,4,1.333,4,5.333,0,0,0,0,0,1.333,0,2.667,4,1.333,0,0,5.333,0,0,0,0,0,0,0,1.333,0,0,8,0,0,0,1.333,0,0,17.333,0,14.667,0,12,0,0,0,0,1.333,4,0,0,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.667,1.333,4,0,0,"2023a","KE5A65",19.8860265313092,17.333,344.684497867183,6.666,132.560252857707
"7","France","alsace",1997,0.286,1.17,0.655,1,"fr",0.286,1.17,0.655,-0.0145,0.29325,-0.0249999999999999,1.1825,0.033,0.6385,"alsace","France","FR",2,"FRF1","Alsace","Parliament","PCF","French Communist Party","Parti communiste francaise",1251,16474,1107693,746665,706709,"alsace","FRA","manifesto",31220,"PCF","Parti Communiste Français","French Communist Party",1946,2017,28.6,1946,NA,"","2013-01-01T18:17:53.203Z","2021-03-12T10:13:38.063026Z",1855,"2013-01-01T18:34:36.765Z",31,10,10,"25/05/1997",199705,"French Communist Party","PCF",20,NA,106,999,1997,NA,NA,9.901,0,NA,37,577,1,10,NA,70,11.429,0,0,1.429,0,1.429,4.286,0,0,0,4.286,1.429,5.714,0,0,0,0,0,1.429,0,0,1.429,0,0,0,0,0,1.429,8.571,0,0,1.429,7.143,0,0,0,2.857,1.429,14.286,11.429,0,2.857,0,0,0,0,0,4.286,0,0,0,4.286,0,2.857,0,4.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.857,1.429,0,25.714,5.714,"2023a","KYPNEO",2.20634421058976,0,0,25.715,56.7361413753156
"8","France","alsace",1997,0.286,1.17,0.655,1,"fr",0.286,1.17,0.655,-0.0145,0.29325,-0.0249999999999999,1.1825,0.033,0.6385,"alsace","France","FR",2,"FRF1","Alsace","Parliament","PS","Socialist Party","Parti socialiste",1478,131337,1107693,746665,706709,"alsace","FRA","manifesto",31320,"SIFO","Parti Socialiste","Socialist Party",1946,2017,36.6,1981,NA,"","2013-01-01T18:18:17.903Z","2021-03-12T10:13:38.080355Z",1974,"2013-01-01T18:34:38.365Z",31,10,10,"25/05/1997",199705,"Socialist Party","PS",30,NA,106,999,1997,NA,NA,25.484,0,NA,246,577,1,10,NA,143,11.189,3.497,0,0.699,0,0,0.699,0.699,11.888,0,0,4.196,9.091,0,0,0,0,2.098,0,0,0,4.196,1.399,0,0,0,0,0,2.797,0.699,2.797,0,2.098,0,0,0,4.196,2.797,11.888,4.196,0.699,6.993,0,0,0,0,0,3.497,0,0,0,0,0,3.497,0,2.098,2.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.287,1.399,0,16.084,0.699,"2023a","B4HN4D",17.5898160486965,0,0,8.392,147.613736280661
"9","France","alsace",1997,0.286,1.17,0.655,1,"fr",0.286,1.17,0.655,-0.0145,0.29325,-0.0249999999999999,1.1825,0.033,0.6385,"alsace","France","FR",2,"FRF1","Alsace","Parliament","UDF","Union for French Democracy","Union pour la democratie francaise",213,133025,1107693,746665,706709,"alsace","FRA","manifesto",31624,"UDF","Mouvement Démocrate","Democratic Mouvement",1978,2017,22,1978,NA,"","2013-01-01T18:18:17.255Z","2021-03-12T10:13:38.008466Z",1971,"2013-01-01T18:34:38.767Z",31,10,10,"25/05/1997",199705,"Union for French Democracy","UDF",60,NA,106,999,1997,NA,NA,14.689,0,NA,109,577,2,10,NA,61,9.836,1.639,0,0,0,0,1.639,1.639,4.918,0,0,8.197,4.918,0,0,4.918,0,3.279,0,0,0,6.557,0,0,0,0,0,4.918,0,0,3.279,0,0,0,0,0,3.279,1.639,8.197,4.918,1.639,8.197,0,0,0,1.639,0,4.918,1.639,0,0,0,0,1.639,0,3.279,3.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.279,0,0,13.115,1.639,"2023a","UPZ3H9",17.8158879818928,0,0,4.918,87.6185370949489
"10","France","alsace",1997,0.286,1.17,0.655,1,"fr",0.286,1.17,0.655,-0.0145,0.29325,-0.0249999999999999,1.1825,0.033,0.6385,"alsace","France","FR",2,"FRF1","Alsace","Parliament","VERTS","Greens","Les Verts",1108,62782,1107693,746665,706709,"alsace","FRA","manifesto",31110,"Les Verts","Europe Écologie Les Verts","Europe Ecology - The Greens",1993,2017,7.8,1993,NA,"in 1997: Les Verts","2013-01-01T18:17:52.173Z","2021-03-12T10:13:37.769037Z",1850,"2013-01-01T18:34:39.508Z",31,10,10,"25/05/1997",199705,"The Greens","Les Verts",10,NA,106,999,1997,NA,NA,3.592,0,NA,8,577,1,10,NA,48,10.417,0,0,0,0,2.083,2.083,2.083,14.583,0,0,0,10.417,0,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,10.417,0,0,0,0,0,0,2.083,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.083,0,0,22.917,4.167,"2023a","Z9DJM6",8.40832234000522,0,0,10.417,87.5894938158344
