country_name,region,year,avg_gini,im_ratio,ed_ratio,delta_gini,avg_gini_period,delta_im,avg_im_period,interp_avg_gini,interp_im_ratio,interp_ed_ratio,interp_unemployment,interp_immig,interp_wage_ratio,delta_ed,avg_ed_period,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,DIV,other,other,1898.0,65697.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,FN,National Front / National Rally,Front National / Rassemblement national,433.0,384485.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,GE++,Ecology Generation,Generation ecologie,1273.0,59438.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,MAJ,Party of Presidential Majority,Parti de la Majorite presidentielle,3157.0,28789.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,OTHER,,,,2146.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,OTHER FAR-LEFT,other far-left,extreme gauche,1594.0,8289.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,OTHER RIGHT,other right,divers droite,1776.0,64585.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,PCF,French Communist Party,Parti communiste francaise,1251.0,209481.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,PRG,Radical Party of the Left,Parti radical de gauche,1783.0,35693.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,PS,Socialist Party,Parti socialiste,1478.0,226969.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,REG,,,2536.0,2307.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,RPR,,,,306008.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,UDF,Union for French Democracy,Union pour la democratie francaise,213.0,351489.0,2852918.0,1906359.0,1824046.0
France,alpes,1993,,,,,0.371,,1.26,0.371,1.26,0.6315,0.4995,0.08600000000000001,0.881,,0.6315,VERTS,Greens,Les Verts,1108.0,78670.0,2852918.0,1906359.0,1824046.0
France,alpes,1997,0.295,1.21,0.652,-0.07600000000000001,0.33299999999999996,-0.050000000000000044,1.2349999999999999,0.295,1.21,0.652,0.399,0.124,1.04,0.020500000000000074,0.64175,DIV,other,other,1898.0,29386.0,2854567.0,1878741.0,1807599.0
France,alpes,1997,0.295,1.21,0.652,-0.07600000000000001,0.33299999999999996,-0.050000000000000044,1.2349999999999999,0.295,1.21,0.652,0.399,0.124,1.04,0.020500000000000074,0.64175,FN,National Front / National Rally,Front National / Rassemblement national,433.0,432810.0,2854567.0,1878741.0,1807599.0
France,alpes,1997,0.295,1.21,0.652,-0.07600000000000001,0.33299999999999996,-0.050000000000000044,1.2349999999999999,0.295,1.21,0.652,0.399,0.124,1.04,0.020500000000000074,0.64175,OTHER,,,,3286.0,2854567.0,1878741.0,1807599.0
France,alpes,1997,0.295,1.21,0.652,-0.07600000000000001,0.33299999999999996,-0.050000000000000044,1.2349999999999999,0.295,1.21,0.652,0.399,0.124,1.04,0.020500000000000074,0.64175,OTHER FAR-LEFT,other far-left,extreme gauche,1594.0,13532.0,2854567.0,1878741.0,1807599.0
