country_name,region,year,avg_gini,im_ratio,ed_ratio,avg_gini_period,avg_im_period,interp_avg_gini,interp_im_ratio,interp_ed_ratio,interp_unemployment,interp_immig,interp_wage_ratio,avg_ed_period,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote,nuts2,gdp
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,CEN,,,,18584.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,ECO,Ecology Today,Aujour'hui l'Ecologie,5953.0,31341.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,EXD,,,452.0,20953.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,FG,Left Front,Front de Gauche,4363.0,142588.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,FN,National Front / National Rally,Front National / Rassemblement national,433.0,423912.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,NCE,New Centre,Nouveau centre,1255.0,25297.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,OTHER,,,,28280.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,OTHER LEFT,other left,divers gauche,126.0,69413.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,OTHER RIGHT,other right,divers droite,1776.0,46679.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,PRG,Radical Party of the Left,Parti radical de gauche,1783.0,35516.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,PRV,Radical [Socialist] Party,Parti radical [socialiste],14.0,568.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,PS,Socialist Party,Parti socialiste,1478.0,377435.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,UMP,,,1595.0,627850.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2012,0.326,1.08,0.619,0.3188,1.174,0.326,1.08,0.619,0.41,0.118,1.08,0.6437,VEC,Europe Ecology - The Greens,Europe Ecologie - Les Verts,5650.0,122839.0,3439784.0,1996949.0,1971255.0,FRL0,150183.6
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,DIV,other,other,1898.0,39451.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,DLF,,,3207.0,25443.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,ECO,Ecology Today,Aujour'hui l'Ecologie,5953.0,65149.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,EXD,,,452.0,8463.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,FI,Unbowed France,La France Insoumise,5858.0,180321.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,FN,National Front / National Rally,Front National / Rassemblement national,433.0,339885.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,LR,Union for a Popular Movement,Union pour un mouvement populaire,8168.0,294233.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,MDM,,,,63879.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,OTHER,,,,18503.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,OTHER LEFT,other left,divers gauche,126.0,6375.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,OTHER RIGHT,other right,divers droite,1776.0,37387.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,PCF,French Communist Party,Parti communiste francaise,1251.0,48093.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,PRG,Radical Party of the Left,Parti radical de gauche,1783.0,2783.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,PS,Socialist Party,Parti socialiste,1478.0,37943.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,REG,,,2536.0,1522.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,REM,The Republic Onwards!,La Republique En Marche!,5857.0,445307.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alpes,2017,0.304,1.18,0.681,0.3163333333333333,1.175,0.304,1.18,0.681,0.404,0.127,1.14,0.6499166666666667,UDI,Union of Democrats and Independents,Union des democrates et independants,3229.0,29856.0,3566117.0,1677828.0,1644593.0,FRL0,161647.29
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,ALLI,,,1177.0,10987.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,AUT,other,other,1898.0,4422.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,CEN,,,,10286.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,ECO,Ecology Today,Aujour'hui l'Ecologie,5953.0,18725.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,FG,Left Front,Front de Gauche,4363.0,20205.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,FN,National Front / National Rally,Front National / Rassemblement national,433.0,118672.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,NCE,New Centre,Nouveau centre,1255.0,17417.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,OTHER,,,,4664.0,1268103.0,692945.0,682324.0,FRF1,54603.03
France,alsace,2012,0.308,1.31,0.658,0.3015,1.209,0.308,1.31,0.658,0.411,0.139,1.13,0.6574,OTHER FAR-LEFT,other far-left,extreme gauche,1594.0,2979.0,1268103.0,692945.0,682324.0,FRF1,54603.03
