nuts2,year,gdp
AL01,2010,2225.11
AL01,2011,2214.58
AL01,2012,2297.46
AL01,2013,2276.67
AL01,2014,2290.45
AL01,2015,2418.75
AL01,2016,2549.18
AL01,2017,2707.01
AL01,2018,2954.85
AL01,2019,3165.02
AL01,2020,3009.75
AL02,2010,4211.08
AL02,2011,4195.2
AL02,2012,4294.6
AL02,2013,4319.08
AL02,2014,4535.08
AL02,2015,4837.09
AL02,2016,5050.74
AL02,2017,5640.05
AL02,2018,6327.54
AL02,2019,6789.07
AL02,2020,6615.52
AL03,2010,2560.43
AL03,2011,2858.55
AL03,2012,2993.75
AL03,2013,3029.61
AL03,2014,3143.07
AL03,2015,3008.27
AL03,2016,3119.93
AL03,2017,3211.98
AL03,2018,3545.66
AL03,2019,3800.09
AL03,2020,3658.05
AT11,2010,6698.37
AT11,2011,7012.58
AT11,2012,7365.43
AT11,2013,7539.32
AT11,2014,7737.13
AT11,2015,8040.55
AT11,2016,8351.77
AT11,2017,8717.79
AT11,2018,8960.75
AT11,2019,9228.33
AT11,2020,8958
AT11,2021,9498.09
AT12,2010,46285.86
AT12,2011,48511.33
AT12,2012,49802.6
AT12,2013,50470.13
AT12,2014,52049.38
AT12,2015,53884.36
AT12,2016,55570.83
AT12,2017,58207.94
AT12,2018,60471.34
AT12,2019,63016.05
AT12,2020,59861.49
AT12,2021,65034.59
AT13,2010,78130.05
AT13,2011,80747.86
AT13,2012,81981.66
AT13,2013,83117.69
AT13,2014,84749.78
AT13,2015,87284.43
AT13,2016,91942.34
AT13,2017,92880.64
AT13,2018,97152.54
AT13,2019,99673.11
AT13,2020,95384.86
AT13,2021,101960.55
AT21,2010,16582.05
AT21,2011,17548.27
AT21,2012,17771.87
AT21,2013,17907.85
AT21,2014,18419.82
AT21,2015,18717.18
AT21,2016,19093.92
AT21,2017,19910.2
AT21,2018,20862.53
AT21,2019,21428.7
AT21,2020,20877.48
AT21,2021,22691.68
AT22,2010,37576.18
AT22,2011,39466.78
AT22,2012,40955.99
AT22,2013,41303.53
AT22,2014,42710.58
AT22,2015,43721.26
AT22,2016,45542.88
AT22,2017,47499.91
AT22,2018,48774.36
AT22,2019,50899.6
AT22,2020,49014.96
AT22,2021,51595.07
AT31,2010,49592.39
AT31,2011,52574.13
AT31,2012,53978.66
AT31,2013,55424.89
AT31,2014,57136.86
AT31,2015,58650.83
