    file  region                                  year avg_gini
     <chr> <chr>                                  <int>    <dbl>
   1 at00h [111]AT111 - Mittelburgenland           2000   0.311 
   2 at00h [112]AT112 - Nordburgenland             2000   0.266 
   3 at00h [113]AT113 - Südburgenland              2000   0.246 
   4 at00h [121]AT121 - Mostviertel-Eisenwurzen    2000   0.261 
   5 at00h [122]AT122 - Niederösterreich-Süd       2000   0.254 
   6 at00h [123]AT123 - Sankt Pölten               2000   0.256 
   7 at00h [124]AT124 - Waldviertel                2000   0.338 
   8 at00h [125]AT125 - Weinviertel                2000   0.323 
   9 at00h [126]AT126 - Wiener Umland/Nordteil     2000   0.284 
  10 at00h [127]AT127 - Wiener Umland/Südteil      2000   0.329 
  11 at00h [131]AT131 - Wien                       2000   0.293 
  12 at00h [211]AT211 - Klagenfurt-Villach         2000   0.308 
  13 at00h [212]AT212 - Oberkärnten                2000   0.261 
  14 at00h [213]AT213 - Unterkärnten               2000   0.296 
  15 at00h [221]AT221 - Graz                       2000   0.266 
  16 at00h [222]AT222 - Liezen                     2000   0.167 
  17 at00h [223]AT223 - Östliche Obersteiermark    2000   0.267 
  18 at00h [224]AT224 - Oststeiermark              2000   0.290 
  19 at00h [225]AT225 - West- und Südsteiermark    2000   0.239 
  20 at00h [226]AT226 - Westliche Obersteiermark   2000   0.265 
  21 at00h [311]AT311 - Innviertel                 2000   0.306 
  22 at00h [312]AT312 - Linz-Wels                  2000   0.294 
  23 at00h [313]AT313 - Mühlviertel                2000   0.285 
  24 at00h [314]AT314 - Steyr-Kirchdorf            2000   0.211 
  25 at00h [315]AT315 - Traunviertel               2000   0.242 
  26 at00h [321]AT321 - Lungau                     2000   0.147 
  27 at00h [322]AT322 - Pinzgau-Pongau             2000   0.214 
  28 at00h [323]AT323 - vSalzburg und Umgebung     2000   0.267 
  29 at00h [331]AT331 - Außerfern                  2000   0.186 
  30 at00h [332]AT332 - Innsbruck                  2000   0.312 
  31 at00h [333]AT333 - Osttirol                   2000   0.273 
  32 at00h [334]AT334 - Tiroler Oberland           2000   0.230 
  33 at00h [335]AT335 - Tiroler Unterland          2000   0.283 
  34 at00h [341]AT341 - Bludenz-Bregenzer Wald     2000   0.297 
  35 at00h [342]AT342 - Rheintal-Bodenseegebiet    2000   0.242 
  36 at00h <NA>                                    2000   0.193 
  37 at03h [11]Burgenland                          2003   0.272 
  38 at03h [12]Niederösterreich                    2003   0.291 
  39 at03h [13]Wien                                2003   0.317 
  40 at03h [21]Kärnten                             2003   0.289 
  41 at03h [22]Steiermark                          2003   0.291 
  42 at03h [31]Oberösterreich                      2003   0.286 
  43 at03h [32]Salzburg                            2003   0.310 
  44 at03h [33]Tirol                               2003   0.298 
  45 at03h [34]Vorarlberg                          2003   0.300 
  46 at04h [11]Burgenland                          2004   0.292 
  47 at04h [12]Niederösterreich                    2004   0.298 
  48 at04h [13]Wien                                2004   0.313 
  49 at04h [21]Kärnten                             2004   0.333 
  50 at04h [22]Steiermark                          2004   0.300 
  51 at04h [31]Oberösterreich                      2004   0.286 
  52 at04h [32]Salzburg                            2004   0.256 
  53 at04h [33]Tirol                               2004   0.273 
  54 at04h [34]Vorarlberg                          2004   0.307 
  55 at05h [11]Burgenland                          2005   0.293 
  56 at05h [12]Niederösterreich                    2005   0.301 
  57 at05h [13]Wien                                2005   0.311 
  58 at05h [21]Kärnten                             2005   0.276 
  59 at05h [22]Steiermark                          2005   0.294 
  60 at05h [31]Oberösterreich                      2005   0.281 
  61 at05h [32]Salzburg                            2005   0.293 
  62 at05h [33]Tirol                               2005   0.277 
  63 at05h [34]Vorarlberg                          2005   0.260 
  64 at06h [11]Burgenland                          2006   0.307 
  65 at06h [12]Niederösterreich                    2006   0.297 
  66 at06h [13]Wien                                2006   0.320 
  67 at06h [21]Kärnten                             2006   0.274 
  68 at06h [22]Steiermark                          2006   0.290 
  69 at06h [31]Oberösterreich                      2006   0.285 
  70 at06h [32]Salzburg                            2006   0.301 
  71 at06h [33]Tirol                               2006   0.292 
  72 at06h [34]Vorarlberg                          2006   0.297 
  73 at07h [11]Burgenland                          2007   0.308 
  74 at07h [12]Niederösterreich                    2007   0.311 
  75 at07h [13]Wien                                2007   0.352 
  76 at07h [21]Kärnten                             2007   0.286 
  77 at07h [22]Steiermark                          2007   0.299 
  78 at07h [31]Oberösterreich                      2007   0.299 
  79 at07h [32]Salzburg                            2007   0.308 
  80 at07h [33]Tirol                               2007   0.332 
  81 at07h [34]Vorarlberg                          2007   0.290 
  82 at08h [11]Burgenland                          2008   0.291 
  83 at08h [12]Niederösterreich                    2008   0.308 
  84 at08h [13]Wien                                2008   0.362 
  85 at08h [21]Kärnten                             2008   0.293 
