     file  region                                  year im_ratio ed_ratio
     <chr> <chr>                                  <int>    <dbl>    <dbl>
   1 at00h [111]AT111 - Mittelburgenland           2000    2.08     0.579
   2 at00h [112]AT112 - Nordburgenland             2000    1.53     0.883
   3 at00h [113]AT113 - Südburgenland              2000    1.64     0.567
   4 at00h [121]AT121 - Mostviertel-Eisenwurzen    2000    1.38     0.565
   5 at00h [122]AT122 - Niederösterreich-Süd       2000   NA       NA    
   6 at00h [123]AT123 - Sankt Pölten               2000   NA       NA    
   7 at00h [124]AT124 - Waldviertel                2000   NA       NA    
   8 at00h [125]AT125 - Weinviertel                2000    1.52     0.492
   9 at00h [126]AT126 - Wiener Umland/Nordteil     2000    1.12     0.455
  10 at00h [127]AT127 - Wiener Umland/Südteil      2000    0.886    0.523
  11 at00h [131]AT131 - Wien                       2000   NA       NA    
  12 at00h [211]AT211 - Klagenfurt-Villach         2000    1.06     0.706
  13 at00h [212]AT212 - Oberkärnten                2000    1.25     0.726
  14 at00h [213]AT213 - Unterkärnten               2000    1.29     0.564
  15 at00h [221]AT221 - Graz                       2000    1.38     0.598
  16 at00h [222]AT222 - Liezen                     2000   NA       NA    
  17 at00h [223]AT223 - Östliche Obersteiermark    2000    0.510    0.636
  18 at00h [224]AT224 - Oststeiermark              2000   NA        1.38 
  19 at00h [225]AT225 - West- und Südsteiermark    2000    1.06     0.826
  20 at00h [226]AT226 - Westliche Obersteiermark   2000    1.28     0.670
  21 at00h [311]AT311 - Innviertel                 2000    0.610    0.975
  22 at00h [312]AT312 - Linz-Wels                  2000    1.21     0.787
  23 at00h [313]AT313 - Mühlviertel                2000    0.801    0.696
  24 at00h [314]AT314 - Steyr-Kirchdorf            2000    1.05     1.00 
  25 at00h [315]AT315 - Traunviertel               2000    1.22     0.573
  26 at00h [321]AT321 - Lungau                     2000   NA        1.44 
  27 at00h [322]AT322 - Pinzgau-Pongau             2000   NA        0.779
  28 at00h [323]AT323 - vSalzburg und Umgebung     2000    1.05     0.699
  29 at00h [331]AT331 - Außerfern                  2000   NA       NA    
  30 at00h [332]AT332 - Innsbruck                  2000    1.70     0.879
  31 at00h [333]AT333 - Osttirol                   2000    1.00     1.48 
  32 at00h [334]AT334 - Tiroler Oberland           2000    1.07     0.931
  33 at00h [335]AT335 - Tiroler Unterland          2000    0.988    0.532
  34 at00h [341]AT341 - Bludenz-Bregenzer Wald     2000    0.931    0.627
  35 at00h [342]AT342 - Rheintal-Bodenseegebiet    2000    0.984    0.779
  36 at00h <NA>                                    2000    1.85     0.424
  37 at03h [11]Burgenland                          2003    1.13     0.690
  38 at03h [12]Niederösterreich                    2003    1.16     0.663
  39 at03h [13]Wien                                2003   NA       NA    
  40 at03h [21]Kärnten                             2003    1.26     0.671
  41 at03h [22]Steiermark                          2003    1.12     0.833
  42 at03h [31]Oberösterreich                      2003    1.20     0.798
  43 at03h [32]Salzburg                            2003    1.29     0.698
  44 at03h [33]Tirol                               2003    1.03     0.752
  45 at03h [34]Vorarlberg                          2003    1.10     0.616
  46 at04h [11]Burgenland                          2004    1.11     0.670
  47 at04h [12]Niederösterreich                    2004    1.33     0.696
  48 at04h [13]Wien                                2004    1.26     0.809
  49 at04h [21]Kärnten                             2004    1.04     0.890
  50 at04h [22]Steiermark                          2004    1.17     0.745
  51 at04h [31]Oberösterreich                      2004    1.18     0.705
  52 at04h [32]Salzburg                            2004   NA       NA    
  53 at04h [33]Tirol                               2004    1.07     0.732
  54 at04h [34]Vorarlberg                          2004    1.13     0.623
  55 at05h [11]Burgenland                          2005    1.20     0.533
  56 at05h [12]Niederösterreich                    2005    1.21     0.683
  57 at05h [13]Wien                                2005    1.32     0.688
  58 at05h [21]Kärnten                             2005    1.09     0.810
  59 at05h [22]Steiermark                          2005    1.28     0.785
  60 at05h [31]Oberösterreich                      2005    1.27     0.679
  61 at05h [32]Salzburg                            2005    1.19     0.734
  62 at05h [33]Tirol                               2005    0.942    0.668
  63 at05h [34]Vorarlberg                          2005    1.16     0.811
  64 at06h [11]Burgenland                          2006    1.25     0.615
  65 at06h [12]Niederösterreich                    2006   NA       NA    
  66 at06h [13]Wien                                2006    1.29     0.639
  67 at06h [21]Kärnten                             2006    1.21     0.707
  68 at06h [22]Steiermark                          2006    1.30     0.767
  69 at06h [31]Oberösterreich                      2006    1.28     0.732
  70 at06h [32]Salzburg                            2006    1.11     0.814
  71 at06h [33]Tirol                               2006    1.02     0.680
  72 at06h [34]Vorarlberg                          2006    1.00     0.636
  73 at07h [11]Burgenland                          2007    1.48     0.567
  74 at07h [12]Niederösterreich                    2007    1.34     0.653
  75 at07h [13]Wien                                2007    1.43     0.710
  76 at07h [21]Kärnten                             2007    1.30     0.664
  77 at07h [22]Steiermark                          2007    1.38     0.776
  78 at07h [31]Oberösterreich                      2007    1.29     0.678
  79 at07h [32]Salzburg                            2007    1.34     0.881
  80 at07h [33]Tirol                               2007    1.07     0.793
  81 at07h [34]Vorarlberg                          2007    1.15     0.793
  82 at08h [11]Burgenland                          2008    1.55     0.520
  83 at08h [12]Niederösterreich                    2008   NA        0.648
  84 at08h [13]Wien                                2008    1.35     0.669
  85 at08h [21]Kärnten                             2008    1.29     0.659
  86 at08h [22]Steiermark                          2008    1.29     0.716
  87 at08h [31]Oberösterreich                      2008    1.34     0.709
  88 at08h [32]Salzburg                            2008    1.24     0.822
  89 at08h [33]Tirol                               2008    1.16     0.749
  90 at08h [34]Vorarlberg                          2008   NA        0.815
  91 at09h [11]Burgenland                          2009    1.27     0.677
  92 at09h [12]Niederösterreich                    2009    1.30     0.632
  93 at09h [13]Wien                                2009    1.48     0.596
  94 at09h [21]Kärnten                             2009    1.41     0.699
  95 at09h [22]Steiermark                          2009    1.35     0.650
  96 at09h [31]Oberösterreich                      2009    1.30     0.723
  97 at09h [32]Salzburg                            2009    1.19     0.743
  98 at09h [33]Tirol                               2009    1.27     0.654
  99 at09h [34]Vorarlberg                          2009    1.32     0.775
 100 at10h [11]Burgenland                          2010    1.88     0.780
 101 at10h [12]Niederösterreich                    2010    1.23     0.709
 102 at10h [13]Wien                                2010    1.42     0.606
 103 at10h [21]Kärnten                             2010    1.38     0.699
 104 at10h [22]Steiermark                          2010    1.25     0.726
 105 at10h [31]Oberösterreich                      2010    1.25     0.719
 106 at10h [32]Salzburg                            2010    1.26     0.624
 107 at10h [33]Tirol                               2010    1.15     0.728
 108 at10h [34]Vorarlberg                          2010    1.10     0.719
 109 at11h [11]Burgenland                          2011    1.45     0.830
 110 at11h [12]Niederösterreich                    2011    1.29     0.654
 111 at11h [13]Wien                                2011    1.41     0.656
 112 at11h [21]Kärnten                             2011    1.39     0.693
 113 at11h [22]Steiermark                          2011    1.13     0.750
 114 at11h [31]Oberösterreich                      2011    1.24     0.766
 115 at11h [32]Salzburg                            2011    1.41     0.681
 116 at11h [33]Tirol                               2011    0.976    0.713
 117 at11h [34]Vorarlberg                          2011    1.09     0.626
 118 at12h [11]Burgenland                          2012    1.32     0.732
