    file  region                    year unemployment_rate immigrant_rate
    <chr> <chr>                    <int>             <dbl>          <dbl>
  1 ch00h [1]Région lémanique       2000             0.311         0.158 
  2 ch00h [2]Espace Mittelland      2000             0.304         0.0805
  3 ch00h [3]Nordwestschweiz        2000             0.314         0.103 
  4 ch00h [4]Zürich                 2000             0.318         0.138 
  5 ch00h [5]Ostschweiz             2000             0.319         0.0972
  6 ch00h [6]Zentralschweiz         2000             0.290         0.0482
  7 ch00h [7]Ticino                 2000             0.369         0.182 
  8 ch02h [1]Région lémanique       2002             0.336         0.170 
  9 ch02h [2]Espace Mittelland      2002             0.333         0.0675
 10 ch02h [3]Nordwestschweiz        2002             0.337         0.103 
 11 ch02h [4]Zürich                 2002             0.336         0.119 
 12 ch02h [5]Ostschweiz             2002             0.305         0.0868
 13 ch02h [6]Zentralschweiz         2002             0.307         0.0554
 14 ch02h [7]Ticino                 2002             0.349         0.255 
 15 ch04h [1]Région lémanique       2004             0.346         0.161 
 16 ch04h [2]Espace Mittelland      2004             0.326         0.0831
 17 ch04h [3]Nordwestschweiz        2004             0.345         0.131 
 18 ch04h [4]Zürich                 2004             0.321         0.123 
 19 ch04h [5]Ostschweiz             2004             0.343         0.0930
 20 ch04h [6]Zentralschweiz         2004             0.311         0.101 
 21 ch04h [7]Ticino                 2004             0.354         0.148 
 22 ch06h [1]Région lémanique       2006             0.320         0.322 
 23 ch06h [2]Espace Mittelland      2006             0.324         0.165 
 24 ch06h [3]Nordwestschweiz        2006             0.320         0.242 
 25 ch06h [4]Zürich                 2006             0.305         0.246 
 26 ch06h [5]Ostschweiz             2006             0.298         0.192 
 27 ch06h [6]Zentralschweiz         2006             0.298         0.164 
 28 ch06h [7]Ticino                 2006             0.386         0.372 
 29 ch07h [1]Région lémanique       2007             0.320         0.313 
 30 ch07h [2]Espace Mittelland      2007             0.321         0.162 
 31 ch07h [3]Nordwestschweiz        2007             0.307         0.237 
 32 ch07h [4]Zürich                 2007             0.311         0.260 
 33 ch07h [5]Ostschweiz             2007             0.285         0.182 
 34 ch07h [6]Zentralschweiz         2007             0.288         0.170 
 35 ch07h [7]Ticino                 2007             0.386         0.316 
 36 ch08h [1]Région lémanique       2008             0.328         0.317 
 37 ch08h [2]Espace Mittelland      2008             0.318         0.166 
 38 ch08h [3]Nordwestschweiz        2008             0.300         0.255 
 39 ch08h [4]Zürich                 2008             0.300         0.269 
