    file  region                                  year unemployment immig
     <chr> <chr>                                  <int>            <dbl>   <dbl>
   1 at00h [111]AT111 - Mittelburgenland           2000            0.542 0.0139 
   2 at00h [112]AT112 - Nordburgenland             2000            0.296 0.0185 
   3 at00h [113]AT113 - Südburgenland              2000            0.424 0.0326 
   4 at00h [121]AT121 - Mostviertel-Eisenwurzen    2000            0.396 0.0312 
   5 at00h [122]AT122 - Niederösterreich-Süd       2000            0.363 0.0189 
   6 at00h [123]AT123 - Sankt Pölten               2000            0.306 0.0191 
   7 at00h [124]AT124 - Waldviertel                2000            0.397 0.0189 
   8 at00h [125]AT125 - Weinviertel                2000            0.384 0.0289 
   9 at00h [126]AT126 - Wiener Umland/Nordteil     2000            0.449 0.0187 
  10 at00h [127]AT127 - Wiener Umland/Südteil      2000            0.442 0.106  
  11 at00h [131]AT131 - Wien                       2000            0.414 0.139  
  12 at00h [211]AT211 - Klagenfurt-Villach         2000            0.467 0.108  
  13 at00h [212]AT212 - Oberkärnten                2000            0.413 0.0596 
  14 at00h [213]AT213 - Unterkärnten               2000            0.410 0.0116 
  15 at00h [221]AT221 - Graz                       2000            0.457 0.0929 
  16 at00h [222]AT222 - Liezen                     2000            0.25  0.0625 
  17 at00h [223]AT223 - Östliche Obersteiermark    2000            0.408 0.0178 
  18 at00h [224]AT224 - Oststeiermark              2000            0.376 0.00221
  19 at00h [225]AT225 - West- und Südsteiermark    2000            0.410 0.00641
  20 at00h [226]AT226 - Westliche Obersteiermark   2000            0.370 0.00725
  21 at00h [311]AT311 - Innviertel                 2000            0.34  0.04   
  22 at00h [312]AT312 - Linz-Wels                  2000            0.401 0.0828 
  23 at00h [313]AT313 - Mühlviertel                2000            0.373 0.0201 
  24 at00h [314]AT314 - Steyr-Kirchdorf            2000            0.381 0.0476 
  25 at00h [315]AT315 - Traunviertel               2000            0.374 0.0630 
  26 at00h [321]AT321 - Lungau                     2000            0.333 0      
  27 at00h [322]AT322 - Pinzgau-Pongau             2000            0.341 0.0455 
  28 at00h [323]AT323 - vSalzburg und Umgebung     2000            0.335 0.0615 
  29 at00h [331]AT331 - Außerfern                  2000            0.380 0.113  
  30 at00h [332]AT332 - Innsbruck                  2000            0.464 0.0364 
  31 at00h [333]AT333 - Osttirol                   2000            0.264 0.00775
  32 at00h [334]AT334 - Tiroler Oberland           2000            0.403 0.0840 
  33 at00h [335]AT335 - Tiroler Unterland          2000            0.312 0.0176 
  34 at00h [341]AT341 - Bludenz-Bregenzer Wald     2000            0.407 0.0244 
  35 at00h [342]AT342 - Rheintal-Bodenseegebiet    2000            0.362 0.138  
  36 at00h <NA>                                    2000            0.146 0.0244 
  37 at03h [11]Burgenland                          2003            0.426 0.0561 
  38 at03h [12]Niederösterreich                    2003            0.383 0.0645 
  39 at03h [13]Wien                                2003            0.389 0.251  
  40 at03h [21]Kärnten                             2003            0.403 0.0695 
  41 at03h [22]Steiermark                          2003            0.389 0.0697 
  42 at03h [31]Oberösterreich                      2003            0.361 0.0885 
  43 at03h [32]Salzburg                            2003            0.337 0.0857 
  44 at03h [33]Tirol                               2003            0.371 0.0974 
  45 at03h [34]Vorarlberg                          2003            0.363 0.163  
  46 at04h [11]Burgenland                          2004            0.424 0.0503 
  47 at04h [12]Niederösterreich                    2004            0.360 0.0601 
  48 at04h [13]Wien                                2004            0.384 0.233  
  49 at04h [21]Kärnten                             2004            0.395 0.0589 
  50 at04h [22]Steiermark                          2004            0.377 0.0708 
  51 at04h [31]Oberösterreich                      2004            0.371 0.0871 
  52 at04h [32]Salzburg                            2004            0.326 0.0960 
  53 at04h [33]Tirol                               2004            0.358 0.0923 
  54 at04h [34]Vorarlberg                          2004            0.335 0.181  
  55 at05h [11]Burgenland                          2005            0.452 0.0692 
  56 at05h [12]Niederösterreich                    2005            0.390 0.0730 
  57 at05h [13]Wien                                2005            0.379 0.251  
  58 at05h [21]Kärnten                             2005            0.432 0.0629 
  59 at05h [22]Steiermark                          2005            0.399 0.0677 
  60 at05h [31]Oberösterreich                      2005            0.382 0.0880 
  61 at05h [32]Salzburg                            2005            0.365 0.132  
  62 at05h [33]Tirol                               2005            0.377 0.0955 
  63 at05h [34]Vorarlberg                          2005            0.340 0.151  
  64 at06h [11]Burgenland                          2006            0.436 0.0809 
  65 at06h [12]Niederösterreich                    2006            0.396 0.0648 
  66 at06h [13]Wien                                2006            0.403 0.248  
  67 at06h [21]Kärnten                             2006            0.417 0.0588 
  68 at06h [22]Steiermark                          2006            0.395 0.0699 
  69 at06h [31]Oberösterreich                      2006            0.360 0.0942 
  70 at06h [32]Salzburg                            2006            0.339 0.159  
  71 at06h [33]Tirol                               2006            0.386 0.102  
  72 at06h [34]Vorarlberg                          2006            0.310 0.138  
  73 at07h [11]Burgenland                          2007            0.420 0.0727 
  74 at07h [12]Niederösterreich                    2007            0.394 0.0676 
  75 at07h [13]Wien                                2007            0.383 0.260  
  76 at07h [21]Kärnten                             2007            0.428 0.0679 
  77 at07h [22]Steiermark                          2007            0.397 0.0782 
  78 at07h [31]Oberösterreich                      2007            0.356 0.0997 
  79 at07h [32]Salzburg                            2007            0.319 0.155  
  80 at07h [33]Tirol                               2007            0.366 0.115  
  81 at07h [34]Vorarlberg                          2007            0.353 0.165  
  82 at08h [11]Burgenland                          2008            0.402 0.0688 
  83 at08h [12]Niederösterreich                    2008            0.412 0.0620 
  84 at08h [13]Wien                                2008            0.401 0.255  
  85 at08h [21]Kärnten                             2008            0.450 0.0630 
  86 at08h [22]Steiermark                          2008            0.414 0.0774 
  87 at08h [31]Oberösterreich                      2008            0.368 0.105  
  88 at08h [32]Salzburg                            2008            0.351 0.148  
  89 at08h [33]Tirol                               2008            0.343 0.127  
  90 at08h [34]Vorarlberg                          2008            0.319 0.168  
  91 at09h [11]Burgenland                          2009            0.407 0.0872 
  92 at09h [12]Niederösterreich                    2009            0.404 0.0751 
  93 at09h [13]Wien                                2009            0.411 0.273  
  94 at09h [21]Kärnten                             2009            0.441 0.0878 
  95 at09h [22]Steiermark                          2009            0.394 0.0841 
  96 at09h [31]Oberösterreich                      2009            0.352 0.105  
  97 at09h [32]Salzburg                            2009            0.351 0.166  
  98 at09h [33]Tirol                               2009            0.351 0.139  
  99 at09h [34]Vorarlberg                          2009            0.375 0.213  
 100 at10h [11]Burgenland                          2010            0.430 0.0922 
 101 at10h [12]Niederösterreich                    2010            0.399 0.0883 
 102 at10h [13]Wien                                2010            0.426 0.264  
 103 at10h [21]Kärnten                             2010            0.443 0.107  
 104 at10h [22]Steiermark                          2010            0.406 0.0974 
 105 at10h [31]Oberösterreich                      2010            0.352 0.116  
 106 at10h [32]Salzburg                            2010            0.366 0.147  
 107 at10h [33]Tirol                               2010            0.355 0.132  
 108 at10h [34]Vorarlberg                          2010            0.357 0.191  
 109 at11h [11]Burgenland                          2011            0.453 0.0762 
 110 at11h [12]Niederösterreich                    2011            0.383 0.0908 
 111 at11h [13]Wien                                2011            0.426 0.282  
 112 at11h [21]Kärnten                             2011            0.460 0.0975 
 113 at11h [22]Steiermark                          2011            0.415 0.0877 
 114 at11h [31]Oberösterreich                      2011            0.349 0.118  
 115 at11h [32]Salzburg                            2011            0.369 0.141  
 116 at11h [33]Tirol                               2011            0.352 0.127  
 117 at11h [34]Vorarlberg                          2011            0.361 0.210  
 118 at12h [11]Burgenland                          2012            0.480 0.0786 
 119 at12h [12]Niederösterreich                    2012            0.394 0.0949 
 120 at12h [13]Wien                                2012            0.421 0.281  
 121 at12h [21]Kärnten                             2012            0.445 0.0868 
 122 at12h [22]Steiermark                          2012            0.436 0.0821 
 123 at12h [31]Oberösterreich                      2012            0.371 0.128  
 124 at12h [32]Salzburg                            2012            0.353 0.164  
 125 at12h [33]Tirol                               2012            0.374 0.124  
